Zip	City	State	County
00501    	HOLTSVILLE                    	NY	SUFFOLK                                                     
00544    	HOLTSVILLE                    	NY	SUFFOLK                                                     
06390    	FISHERS ISLAND                	NY	SUFFOLK                                                     
10001    	NEW YORK                      	NY	NEW YORK                                                    
10002    	NEW YORK                      	NY	NEW YORK                                                    
10003    	NEW YORK                      	NY	NEW YORK                                                    
10004    	NEW YORK                      	NY	NEW YORK                                                    
10005    	NEW YORK                      	NY	NEW YORK                                                    
10006    	NEW YORK                      	NY	NEW YORK                                                    
10007    	NEW YORK                      	NY	NEW YORK                                                    
10008    	NEW YORK                      	NY	NEW YORK                                                    
10009    	NEW YORK                      	NY	NEW YORK                                                    
10010    	NEW YORK                      	NY	NEW YORK                                                    
10011    	NEW YORK                      	NY	NEW YORK                                                    
10012    	NEW YORK                      	NY	NEW YORK                                                    
10013    	NEW YORK                      	NY	NEW YORK                                                    
10014    	NEW YORK                      	NY	NEW YORK                                                    
10015    	NEW YORK                      	NY	NEW YORK                                                    
10016    	NEW YORK                      	NY	NEW YORK                                                    
10017    	NEW YORK                      	NY	NEW YORK                                                    
10018    	NEW YORK                      	NY	NEW YORK                                                    
10019    	NEW YORK                      	NY	NEW YORK                                                    
10020    	NEW YORK                      	NY	NEW YORK                                                    
10021    	NEW YORK                      	NY	NEW YORK                                                    
10022    	NEW YORK                      	NY	NEW YORK                                                    
10023    	NEW YORK                      	NY	NEW YORK                                                    
10024    	NEW YORK                      	NY	NEW YORK                                                    
10025    	NEW YORK                      	NY	NEW YORK                                                    
10026    	NEW YORK                      	NY	NEW YORK                                                    
10027    	NEW YORK                      	NY	NEW YORK                                                    
10028    	NEW YORK                      	NY	NEW YORK                                                    
10029    	NEW YORK                      	NY	NEW YORK                                                    
10030    	NEW YORK                      	NY	NEW YORK                                                    
10031    	NEW YORK                      	NY	NEW YORK                                                    
10032    	NEW YORK                      	NY	NEW YORK                                                    
10033    	NEW YORK                      	NY	NEW YORK                                                    
10034    	NEW YORK                      	NY	NEW YORK                                                    
10035    	NEW YORK                      	NY	NEW YORK                                                    
10036    	NEW YORK                      	NY	NEW YORK                                                    
10037    	NEW YORK                      	NY	NEW YORK                                                    
10038    	NEW YORK                      	NY	NEW YORK                                                    
10039    	NEW YORK                      	NY	NEW YORK                                                    
10040    	NEW YORK                      	NY	NEW YORK                                                    
10041    	NEW YORK                      	NY	NEW YORK                                                    
10043    	NEW YORK                      	NY	NEW YORK                                                    
10044    	NEW YORK                      	NY	NEW YORK                                                    
10045    	NEW YORK                      	NY	NEW YORK                                                    
10046    	NEW YORK                      	NY	NEW YORK                                                    
10047    	NEW YORK                      	NY	NEW YORK                                                    
10048    	NEW YORK                      	NY	NEW YORK                                                    
10055    	NEW YORK                      	NY	NEW YORK                                                    
10060    	NEW YORK                      	NY	NEW YORK                                                    
10065    	NEW YORK                      	NY	NEW YORK                                                    
10069    	NEW YORK                      	NY	NEW YORK                                                    
10072    	NEW YORK                      	NY	NEW YORK                                                    
10075    	NEW YORK                      	NY	NEW YORK                                                    
10079    	NEW YORK                      	NY	NEW YORK                                                    
10080    	NEW YORK                      	NY	NEW YORK                                                    
10081    	NEW YORK                      	NY	NEW YORK                                                    
10082    	NEW YORK                      	NY	NEW YORK                                                    
10087    	NEW YORK                      	NY	NEW YORK                                                    
10090    	NEW YORK                      	NY	NEW YORK                                                    
10094    	NEW YORK                      	NY	NEW YORK                                                    
10095    	NEW YORK                      	NY	NEW YORK                                                    
10096    	NEW YORK                      	NY	NEW YORK                                                    
10098    	NEW YORK                      	NY	NEW YORK                                                    
10099    	NEW YORK                      	NY	NEW YORK                                                    
10101    	NEW YORK                      	NY	NEW YORK                                                    
10102    	NEW YORK                      	NY	NEW YORK                                                    
10103    	NEW YORK                      	NY	NEW YORK                                                    
10104    	NEW YORK                      	NY	NEW YORK                                                    
10105    	NEW YORK                      	NY	NEW YORK                                                    
10106    	NEW YORK                      	NY	NEW YORK                                                    
10107    	NEW YORK                      	NY	NEW YORK                                                    
10108    	NEW YORK                      	NY	NEW YORK                                                    
10109    	NEW YORK                      	NY	NEW YORK                                                    
10110    	NEW YORK                      	NY	NEW YORK                                                    
10111    	NEW YORK                      	NY	NEW YORK                                                    
10112    	NEW YORK                      	NY	NEW YORK                                                    
10113    	NEW YORK                      	NY	NEW YORK                                                    
10114    	NEW YORK                      	NY	NEW YORK                                                    
10115    	NEW YORK                      	NY	NEW YORK                                                    
10116    	NEW YORK                      	NY	NEW YORK                                                    
10117    	NEW YORK                      	NY	NEW YORK                                                    
10118    	NEW YORK                      	NY	NEW YORK                                                    
10119    	NEW YORK                      	NY	NEW YORK                                                    
10120    	NEW YORK                      	NY	NEW YORK                                                    
10121    	NEW YORK                      	NY	NEW YORK                                                    
10122    	NEW YORK                      	NY	NEW YORK                                                    
10123    	NEW YORK                      	NY	NEW YORK                                                    
10124    	NEW YORK                      	NY	NEW YORK                                                    
10125    	NEW YORK                      	NY	NEW YORK                                                    
10126    	NEW YORK                      	NY	NEW YORK                                                    
10128    	NEW YORK                      	NY	NEW YORK                                                    
10129    	NEW YORK                      	NY	NEW YORK                                                    
10130    	NEW YORK                      	NY	NEW YORK                                                    
10131    	NEW YORK                      	NY	NEW YORK                                                    
10132    	NEW YORK                      	NY	NEW YORK                                                    
10133    	NEW YORK                      	NY	NEW YORK                                                    
10138    	NEW YORK                      	NY	NEW YORK                                                    
10149    	NEW YORK                      	NY	NEW YORK                                                    
10150    	NEW YORK                      	NY	NEW YORK                                                    
10151    	NEW YORK                      	NY	NEW YORK                                                    
10152    	NEW YORK                      	NY	NEW YORK                                                    
10153    	NEW YORK                      	NY	NEW YORK                                                    
10154    	NEW YORK                      	NY	NEW YORK                                                    
10155    	NEW YORK                      	NY	NEW YORK                                                    
10156    	NEW YORK                      	NY	NEW YORK                                                    
10157    	NEW YORK                      	NY	NEW YORK                                                    
10158    	NEW YORK                      	NY	NEW YORK                                                    
10159    	NEW YORK                      	NY	NEW YORK                                                    
10160    	NEW YORK                      	NY	NEW YORK                                                    
10161    	NEW YORK                      	NY	NEW YORK                                                    
10162    	NEW YORK                      	NY	NEW YORK                                                    
10163    	NEW YORK                      	NY	NEW YORK                                                    
10164    	NEW YORK                      	NY	NEW YORK                                                    
10165    	NEW YORK                      	NY	NEW YORK                                                    
10166    	NEW YORK                      	NY	NEW YORK                                                    
10167    	NEW YORK                      	NY	NEW YORK                                                    
10168    	NEW YORK                      	NY	NEW YORK                                                    
10169    	NEW YORK                      	NY	NEW YORK                                                    
10170    	NEW YORK                      	NY	NEW YORK                                                    
10171    	NEW YORK                      	NY	NEW YORK                                                    
10172    	NEW YORK                      	NY	NEW YORK                                                    
10173    	NEW YORK                      	NY	NEW YORK                                                    
10174    	NEW YORK                      	NY	NEW YORK                                                    
10175    	NEW YORK                      	NY	NEW YORK                                                    
10176    	NEW YORK                      	NY	NEW YORK                                                    
10177    	NEW YORK                      	NY	NEW YORK                                                    
10178    	NEW YORK                      	NY	NEW YORK                                                    
